hospital_id,hospital_name,city,pincode,specialty,total_beds,icu_beds,ventilators,doctors_available,nurses_available,oxygen_cylinders,ppe_kits,emergency_available,rating,contact_number,last_updated
1,Pulse Multi‑Speciality Hospital,Chennai,600002,Dermatology,183,6,3,6,32,183,398,No,3.1,+917697320852,2025-11-29 02:05:03
2,Manipal Hospital,Mumbai,400005,ENT,359,25,18,19,101,80,94,No,3.8,+918265133350,2025-11-29 02:05:03
3,Continental Hospitals,Mumbai,400005,Emergency Medicine,169,32,18,6,114,88,59,Yes,4.8,+918953229750,2025-11-29 02:05:03
4,Wellness Hospital,Bengaluru,560001,Gynecology,49,7,6,43,108,50,147,Yes,3.6,+917415507520,2025-11-29 02:05:03
5,Trinity Healthcare,Mumbai,400001,Gynecology,385,72,8,12,116,49,251,Yes,4.9,+917747123693,2025-11-29 02:05:03
6,Continental Hospitals,Chennai,600003,Oncology,58,8,4,23,90,15,306,Yes,4.5,+917509460368,2025-11-29 02:05:03
7,Sanjeevani Hospital,Hyderabad,500003,Emergency Medicine,89,15,14,49,111,20,283,Yes,4.7,+917462639041,2025-11-29 02:05:03
8,Sunshine Hospitals,Hyderabad,500002,Cardiology,386,46,36,27,102,192,124,No,3.3,+918522680147,2025-11-29 02:05:03
9,KIMS Hospital,Bengaluru,560002,Pulmonology,38,7,5,40,42,150,325,No,3.2,+919941870972,2025-11-29 02:05:03
10,Vibrant Life Hospital,Mumbai,400005,Emergency Medicine,256,13,12,36,34,69,327,Yes,3.5,+917353658318,2025-11-29 02:05:03
11,Max Super Speciality Hospital,Chennai,600001,Gastroenterology,42,6,6,32,77,15,180,No,4.3,+916976213796,2025-11-29 02:05:03
12,Horizon Super Speciality,Pune,411002,Cardiology,288,11,7,24,84,70,210,No,4.8,+917463910279,2025-11-29 02:05:03
13,Manipal Hospital,Hyderabad,500004,Emergency Medicine,168,27,23,15,114,162,77,Yes,4.8,+918116327404,2025-11-29 02:05:03
14,Prime Care Hospital,Bengaluru,560003,Dermatology,356,14,6,33,70,78,166,No,3.9,+917639172777,2025-11-29 02:05:03
15,Horizon Super Speciality,Chennai,600003,Gynecology,70,9,3,40,67,124,159,Yes,4.3,+917267643620,2025-11-29 02:05:03
16,City Care Hospital,Bengaluru,560003,Nephrology,368,12,10,38,59,110,374,No,4.1,+916854539168,2025-11-29 02:05:03
17,Harmony Health Center,Hyderabad,500003,Oncology,223,36,12,24,113,73,340,Yes,4.0,+918672397440,2025-11-29 02:05:03
18,Medicover Hospital,Hyderabad,500001,Urology,269,43,32,10,110,28,364,Yes,4.5,+916388159458,2025-11-29 02:05:03
19,MetroCare Hospital,Chennai,600003,Dermatology,86,14,7,22,113,105,191,Yes,4.2,+917346892238,2025-11-29 02:05:03
