city,pincode,date,population_density,no_of_hospitals,avg_capacity,pm2_5,pm10,temperature_mean_c,relative_humidity_mean,uv_index_mean,rain_mm,is_weekend,is_festival,school_open,month,respiratory_risk,flu_risk,vector_risk,gastro_risk,patient_load,respiratory_cases,flu_cases,vector_cases,gastro_cases,other_cases
Chennai,600001,2024-11-27,21724,2,127,69.3,76.2,27.8,76.3,5.6,3.2,0,0,1,11,0.266,0.18,0.405,0.07,259,49,41,93,12,64
Chennai,600001,2024-11-28,21724,2,127,66.8,75.4,29.4,80.7,2.8,4.7,0,0,1,11,0.251,0.18,0.423,0.07,260,65,39,93,16,47
Chennai,600001,2024-11-29,21724,2,127,62.6,81.0,26.6,73.7,4.8,1.5,0,0,1,11,0.226,0.18,0.375,0.07,257,44,47,91,12,63
Chennai,600001,2024-11-30,21724,2,127,73.7,88.1,26.9,85.0,3.5,0.4,1,0,1,11,0.292,0.18,0.42,0.07,290,67,46,95,18,64
Chennai,600001,2024-12-01,21724,2,127,57.0,79.9,27.4,74.5,4.7,0.5,1,0,1,12,0.192,0.18,0.378,0.07,293,65,46,87,19,76
Chennai,600001,2024-12-02,21724,2,127,76.4,95.5,25.5,76.2,5.1,1.2,0,0,1,12,0.309,0.18,0.385,0.07,271,73,36,85,22,55
Chennai,600001,2024-12-03,21724,2,127,59.8,81.7,28.3,75.1,5.6,0.1,0,0,1,12,0.209,0.18,0.38,0.07,264,54,39,102,15,54
Chennai,600001,2024-12-04,21724,2,127,61.5,75.3,27.2,87.5,3.4,1.5,0,0,1,12,0.219,0.18,0.43,0.07,271,46,51,98,16,60
Chennai,600001,2024-12-05,21724,2,127,58.4,79.0,27.5,85.0,4.6,0.8,0,0,1,12,0.2,0.18,0.42,0.07,253,49,43,81,14,66
Chennai,600001,2024-12-06,21724,2,127,53.4,53.4,26.6,84.3,4.8,0.1,0,0,1,12,0.17,0.18,0.417,0.07,284,45,47,106,25,61
Chennai,600001,2024-12-07,21724,2,127,66.4,87.0,29.2,77.9,5.0,0.7,1,0,1,12,0.248,0.18,0.392,0.07,251,63,38,70,20,60
Chennai,600001,2024-12-08,21724,2,127,72.5,91.0,30.2,88.7,4.5,0.0,1,0,1,12,0.285,0.18,0.435,0.07,287,70,41,96,16,64
Chennai,600001,2024-12-09,21724,2,127,69.4,92.4,27.3,80.1,3.7,2.7,0,0,1,12,0.267,0.18,0.4,0.07,272,61,39,99,17,56
Chennai,600001,2024-12-10,21724,2,127,64.0,82.5,28.3,80.0,4.7,1.6,0,0,1,12,0.234,0.18,0.4,0.07,269,63,40,88,11,67
Chennai,600001,2024-12-11,21724,2,127,66.6,78.5,27.1,78.0,4.3,3.1,0,0,1,12,0.25,0.18,0.412,0.07,266,53,40,100,16,57
Chennai,600001,2024-12-12,21724,2,127,70.3,91.3,29.2,79.2,4.5,1.3,0,0,1,12,0.272,0.18,0.397,0.07,265,72,41,82,19,51
Chennai,600001,2024-12-13,21724,2,127,57.8,67.5,29.5,81.3,4.3,0.0,0,0,1,12,0.197,0.18,0.405,0.07,257,45,30,109,22,51
Chennai,600001,2024-12-14,21724,2,127,69.2,96.0,26.4,83.7,4.9,1.1,1,0,1,12,0.265,0.18,0.415,0.07,282,71,45,100,13,53
Chennai,600001,2024-12-15,21724,2,127,53.6,65.9,29.7,83.5,4.9,0.4,1,0,1,12,0.171,0.18,0.414,0.07,271,50,43,112,19,47
Chennai,600001,2024-12-16,21724,2,127,74.7,91.2,28.4,87.8,4.5,0.3,0,0,1,12,0.298,0.18,0.431,0.07,269,64,45,97,12,51
Chennai,600001,2024-12-17,21724,2,127,75.7,71.5,29.1,75.0,5.3,1.1,0,0,1,12,0.304,0.18,0.38,0.07,272,67,41,80,18,66
Chennai,600001,2024-12-18,21724,2,127,75.6,86.4,29.6,88.8,5.0,0.1,0,0,1,12,0.304,0.18,0.435,0.07,263,72,34,87,17,53
Chennai,600001,2024-12-19,21724,2,127,65.7,80.0,30.9,89.2,4.5,0.1,0,0,1,12,0.244,0.18,0.437,0.07,275,51,61,105,13,45
Chennai,600001,2024-12-20,21724,2,127,47.7,77.8,28.3,82.1,5.1,0.6,0,0,1,12,0.136,0.18,0.408,0.07,279,37,56,104,11,71
Chennai,600001,2024-12-21,21724,2,127,56.3,65.9,30.4,84.6,4.3,0.6,1,0,1,12,0.188,0.18,0.418,0.07,288,58,43,110,17,60
Chennai,600001,2024-12-22,21724,2,127,71.5,104.5,28.8,78.7,4.3,0.1,1,0,1,12,0.279,0.18,0.395,0.07,281,75,44,95,11,56
Chennai,600001,2024-12-23,21724,2,127,62.4,72.7,30.1,82.8,3.9,0.0,0,0,1,12,0.224,0.18,0.411,0.07,238,41,39,88,13,57
Chennai,600001,2024-12-24,21724,2,127,74.8,92.6,28.0,76.7,4.9,1.3,0,0,1,12,0.299,0.18,0.387,0.07,271,65,38,95,18,55
Chennai,600001,2024-12-25,21724,2,127,63.3,70.6,29.3,83.8,5.0,0.1,0,0,1,12,0.23,0.18,0.415,0.07,271,43,44,95,20,69
Chennai,600001,2024-12-26,21724,2,127,66.0,86.8,30.4,81.3,5.4,0.5,0,0,1,12,0.246,0.18,0.405,0.07,261,63,32,102,18,46
Chennai,600001,2024-12-27,21724,2,127,56.1,62.9,29.8,81.0,3.8,0.1,0,0,1,12,0.186,0.18,0.404,0.07,256,40,34,105,12,65
Chennai,600001,2024-12-28,21724,2,127,69.3,77.0,28.5,85.8,4.3,2.8,1,0,1,12,0.266,0.18,0.423,0.07,286,74,42,93,14,63
Chennai,600001,2024-12-29,21724,2,127,65.6,75.3,29.1,77.8,5.3,0.8,1,0,1,12,0.244,0.18,0.391,0.07,288,59,42,104,15,68
Chennai,600001,2024-12-30,21724,2,127,70.1,83.4,31.1,82.2,5.3,0.0,0,0,1,12,0.271,0.18,0.409,0.07,282,60,33,102,20,67
Chennai,600001,2024-12-31,21724,2,127,74.7,71.0,28.4,81.0,5.9,0.0,0,0,1,12,0.298,0.18,0.404,0.07,262,58,37,93,18,56
Chennai,600001,2025-01-01,21724,2,127,59.5,75.6,28.8,87.6,4.7,3.0,0,0,1,1,0.207,0.18,0.45,0.07,272,41,45,109,19,58
Chennai,600001,2025-01-02,21724,2,127,81.5,98.7,28.0,80.6,5.3,0.4,0,0,1,1,0.339,0.18,0.403,0.07,273,74,48,79,16,56
Chennai,600001,2025-01-03,21724,2,127,59.3,78.7,31.0,83.3,6.3,1.2,0,0,1,1,0.206,0.18,0.413,0.07,265,51,46,87,21,60
